station_no,station_code,station_name_en,area,long,lat,old_population_percentage,district_exit_percent,hearing_impared_facility,mobility_impared_facility,visually_impaired_facility,system_accessibility,total_facility_score,normal_facility_score,normal_hearing_impared_facility,normal_mobility_impared_facility,normal_visually_impaired_facility,normal_system_accessibility,adjusted_demand
28,CAB,Causeway Bay,Wan Chai,114.18449627395535,22.280641822277754,21.223791955367588,0.3793103448275862,8,11,23,10,52,50.0,66.66666666666666,44.0,82.14285714285714,25.64102564102564,8.05040384513943
29,TIH,Tin Hau,Wan Chai,114.19177263554053,22.282914904605533,21.223791955367588,0.10344827586206896,8,11,23,10,52,50.0,66.66666666666666,44.0,82.14285714285714,25.64102564102564,2.1955646850380264
30,FOH,Fortress Hill,Eastern,114.19365344332854,22.288088402067977,23.358440190104663,0.04878048780487805,8,11,23,8,50,48.07692307692308,66.66666666666666,44.0,82.14285714285714,20.51282051282051,1.139436106834374
31,NOP,North Point,Eastern,114.20026927099963,22.291907332457313,23.358440190104663,0.21951219512195122,8,15,23,10,56,53.84615384615385,66.66666666666666,60.0,82.14285714285714,25.64102564102564,5.127462480754682
32,QUB,Quarry Bay,Eastern,114.2099276994776,22.287778265587946,23.358440190104663,0.07317073170731707,8,15,23,8,54,51.92307692307693,66.66666666666666,60.0,82.14285714285714,20.51282051282051,1.7091541602515605
33,TAK,Tai Koo,Eastern,114.21665048123305,22.285931427741748,23.358440190104663,0.21951219512195122,8,13,23,10,54,51.92307692307693,66.66666666666666,52.0,82.14285714285714,25.64102564102564,5.127462480754682
34,SWH,Sai Wan Ho,Eastern,114.22244568023781,22.282257298272256,23.358440190104663,0.04878048780487805,8,11,23,10,52,50.0,66.66666666666666,44.0,82.14285714285714,25.64102564102564,1.139436106834374
35,SKW,Shau Kei Wan,Eastern,114.22880111899636,22.278955124538992,23.358440190104663,0.21951219512195122,8,11,23,13,55,52.88461538461539,66.66666666666666,44.0,82.14285714285714,33.33333333333333,5.127462480754682
36,HFC,Heng Fa Chuen,Eastern,114.23980047393069,22.27705676625535,23.358440190104663,0.04878048780487805,8,11,23,10,52,50.0,66.66666666666666,44.0,82.14285714285714,25.64102564102564,1.139436106834374
37,CHW,Chai Wan,Eastern,114.2372204074592,22.264943307950663,23.358440190104663,0.12195121951219512,8,11,23,10,52,50.0,66.66666666666666,44.0,82.14285714285714,25.64102564102564,2.8485902670859344
